Platform Code,Club ID,Club Name,In All-Time,All-Time Rank,In Seasonal,Seasonal Rank,Skill Rating,Division,Wins,Ties,Losses,Games Played,Goals,Goals Against,Clean Sheets,Goals/Game,Goals Against/Game,Reputation Level
common-gen5,123762,Gimme 20p FC,Sim,1,Não,,3034,1,433,16,17,466,2081,251,314,4.47,0.54,10
common-gen5,1271461,swqaasdc,Sim,2,Não,,3031,1,345,26,114,485,1764,981,141,3.64,2.02,10
common-gen5,1100665,UNDATEABLES,Sim,3,Não,,3027,1,573,60,89,722,2474,773,310,3.43,1.07,10
common-gen5,3817553,PSG TIKITAKA,Sim,4,Não,,3011,1,150,31,32,213,556,201,86,2.61,0.94,9
common-gen5,7263,Ju We 20p Cong,Sim,5,Não,,2992,1,305,8,18,331,1506,246,192,4.55,0.74,10
common-gen5,3435834,Golazo 20p,Sim,6,Não,,2975,1,200,9,14,223,925,164,121,4.15,0.74,9
common-gen5,2273162,Nothing More,Sim,7,Não,,2975,1,417,14,18,449,2005,331,242,4.47,0.74,10
common-gen5,4959903,20p Turtles,Sim,8,Não,,2964,1,179,7,10,196,841,125,114,4.29,0.64,9
common-gen5,6170,20p Tigers,Sim,9,Não,,2961,1,265,4,10,279,1176,131,197,4.22,0.47,10
common-gen5,5704370,Glaswegians FC,Sim,10,Não,,2959,1,144,6,20,170,704,243,46,4.14,1.43,9
common-gen5,4422111,ACAXA,Sim,11,Não,,2959,1,251,27,29,307,1011,207,168,3.29,0.67,10
common-gen5,557529,6rbII,Sim,12,Não,,2956,1,331,6,63,400,1339,676,200,3.35,1.69,9
common-gen5,1575910,San Delta West,Sim,13,Não,,2953,1,414,54,72,540,1628,400,298,3.01,0.74,10
common-gen5,3880887,Lazy Carrots FC,Sim,14,Não,,2951,1,351,32,46,429,1536,349,231,3.58,0.81,10
common-gen5,3837376,San Delta,Sim,15,Não,,2949,1,210,19,15,244,796,132,155,3.26,0.54,9
common-gen5,471806,20p Sheep,Sim,16,Não,,2949,1,277,27,60,364,1357,488,148,3.73,1.34,10
common-gen5,3327374,Les Invaincus X,Sim,17,Não,,2948,1,131,30,22,183,576,166,84,3.15,0.91,8
common-gen5,3160430,its not easy,Sim,18,Não,,2943,1,286,34,38,358,1150,267,184,3.21,0.75,10
common-gen5,42160,I JINCHÃRIKI I,Sim,19,Não,,2936,1,247,25,10,282,1029,100,206,3.65,0.35,9
common-gen5,965886,PORTUGOAL,Sim,20,Não,,2934,1,167,0,3,170,781,21,156,4.59,0.12,9
common-gen5,223861,pF I Academy,Sim,21,Não,,2921,1,488,48,95,631,2548,976,207,4.04,1.55,10
common-gen5,1875,Venari City FC,Sim,22,Não,,2920,1,974,125,164,1263,4381,1151,638,3.47,0.91,10
common-gen5,5302378,noiados fc,Sim,23,Não,,2913,1,141,22,68,231,731,326,90,3.16,1.41,8
common-gen5,2877,Goytre United,Sim,24,Não,,2913,1,531,64,107,702,2369,766,321,3.37,1.09,10
common-gen5,895127,TÃHOO,Sim,25,Não,,2905,2,267,25,17,309,1273,339,136,4.12,1.10,9
common-gen5,4375205,Carrots Chilled,Sim,26,Não,,2903,1,223,14,13,250,998,195,145,3.99,0.78,9
common-gen5,660916,Take Notes,Sim,27,Não,,2895,1,318,16,15,349,1573,236,184,4.51,0.68,10
common-gen5,1520654,Los Tonys,Sim,28,Não,,2888,1,481,34,134,649,2806,1138,217,4.32,1.75,10
common-gen5,1544650,Futebol Mundial,Sim,29,Não,,2887,1,571,53,64,688,2287,514,373,3.32,0.75,10
common-gen5,120027,RV Tamanoir,Sim,30,Não,,2887,1,768,99,176,1043,3189,1312,357,3.06,1.26,10
common-gen5,1659379,Venari United,Sim,31,Não,,2885,1,292,29,59,380,1439,464,154,3.79,1.22,10
common-gen5,6115683,CHAMAAAAAAAAA,Sim,32,Não,,2881,1,168,10,22,200,946,297,75,4.73,1.49,8
common-gen5,4243538,Exception 64,Sim,33,Não,,2880,1,177,5,13,195,796,150,109,4.08,0.77,9
common-gen5,1950487,XI L3G3NDS II,Sim,34,Não,,2877,1,569,165,210,944,2028,841,416,2.15,0.89,10
common-gen5,1111542,La DÃ©faite,Sim,35,Não,,2872,1,392,75,71,538,1511,395,298,2.81,0.73,10
common-gen5,2975523,Lazy Slugs FC,Sim,36,Não,,2868,1,238,17,22,277,1096,203,158,3.96,0.73,9
common-gen5,535595,NU Academy,Sim,37,Não,,2867,1,401,42,42,485,1696,466,229,3.50,0.96,10
common-gen5,2653481,ÃNTAGÃNIST,Sim,38,Não,,2866,1,132,31,17,180,554,149,91,3.08,0.83,8
common-gen5,891105,xNever Enoughx,Sim,39,Não,,2865,1,293,13,11,317,1198,187,209,3.78,0.59,10
common-gen5,163803,Ariana Grande,Sim,40,Não,,2864,1,373,55,118,546,1830,824,180,3.35,1.51,10
common-gen5,1872876,Miami 11,Sim,41,Não,,2860,1,578,33,33,644,2271,350,402,3.53,0.54,10
common-gen5,1636,THE LAB,Sim,42,Não,,2855,1,246,47,26,319,960,163,204,3.01,0.51,9
common-gen5,1471469,GFC x,Sim,43,Não,,2849,1,534,40,41,615,2808,676,266,4.57,1.10,10
common-gen5,5711867,Its Not Apoc,Sim,44,Não,,2846,1,134,8,15,157,562,117,79,3.58,0.75,9
common-gen5,1859980,Apoc B,Sim,45,Não,,2843,1,430,70,124,624,1661,463,326,2.66,0.74,10
common-gen5,3986,I Dun Know,Sim,46,Não,,2843,1,479,66,138,683,1926,785,270,2.82,1.15,10
common-gen5,4823031,NM Burner,Sim,47,Não,,2841,1,342,33,50,425,1757,566,164,4.13,1.33,10
common-gen5,4070297,XI Mugiwara,Sim,48,Não,,2837,1,123,14,21,158,534,170,65,3.38,1.08,8
common-gen5,304640,EL Ga Za,Sim,49,Não,,2835,2,275,39,73,387,1486,715,108,3.84,1.85,9
common-gen5,21312,Not verygood fc,Sim,50,Não,,2834,1,857,166,389,1412,3719,2246,450,2.63,1.59,10
common-gen5,9874017,Steam Train,Sim,51,Não,,2833,1,91,0,0,91,436,126,37,4.79,1.38,8
common-gen5,116749,Ragmidables,Sim,52,Não,,2833,1,360,64,164,588,2178,1576,108,3.70,2.68,10
common-gen5,1164440,Brazilians Boss,Sim,53,Não,,2832,1,260,29,75,364,1355,680,89,3.72,1.87,9
common-gen5,5200994,Z i e g e n,Sim,54,Não,,2831,1,120,0,0,120,628,209,37,5.23,1.74,8
common-gen5,1103,Pure Football,Sim,55,Não,,2829,1,357,32,41,430,1874,562,165,4.36,1.31,10
common-gen5,1421860,Meliora FC,Sim,56,Não,,2828,1,445,56,124,625,2206,916,221,3.53,1.47,10
common-gen5,1154751,Pro I Jack,Sim,57,Não,,2825,1,824,92,168,1084,4860,2665,176,4.48,2.46,10
common-gen5,5993785,Tiki Takka 11,Sim,58,Não,,2823,1,129,7,10,146,569,102,81,3.90,0.70,8
common-gen5,1336138,Apocc,Sim,59,Não,,2820,1,453,70,98,621,1798,504,336,2.90,0.81,10
common-gen5,4652641,Millchan,Sim,60,Não,,2819,2,179,24,40,243,1011,438,63,4.16,1.80,9
