Platform Code,Rank,Club ID,Club Name,Skill Rating,Best Division,Current Division,Wins,Ties,Losses,Games Played,Goals,Goals Against,Clean Sheets,Goals Per Game,Goals Against Per Game,Reputation Level
common-gen5,1,123762,Gimme 20p FC,3034,1,2,433,16,17,466,2081,251,314,4.47,0.54,10
common-gen5,2,1271461,swqaasdc,3031,1,4,345,26,114,485,1764,981,141,3.64,2.02,10
common-gen5,3,1100665,UNDATEABLES,3027,1,4,573,60,89,722,2474,773,310,3.43,1.07,10
common-gen5,4,3817553,PSG TIKITAKA,3011,1,2,150,31,32,213,556,201,86,2.61,0.94,9
common-gen5,5,7263,Ju We 20p Cong,2992,1,1,305,8,18,331,1506,246,192,4.55,0.74,10
common-gen5,6,3435834,Golazo 20p,2975,1,1,200,9,14,223,925,164,121,4.15,0.74,9
common-gen5,7,2273162,Nothing More,2975,1,6,417,14,18,449,2005,331,242,4.47,0.74,10
common-gen5,8,4959903,20p Turtles,2964,1,2,179,7,10,196,841,125,114,4.29,0.64,9
common-gen5,9,6170,20p Tigers,2961,1,5,265,4,10,279,1176,131,197,4.22,0.47,10
common-gen5,10,5704370,Glaswegians FC,2959,1,1,144,6,20,170,704,243,46,4.14,1.43,9
common-gen5,11,4422111,ACAXA,2959,1,1,251,27,29,307,1011,207,168,3.29,0.67,10
common-gen5,12,557529,6rbII,2956,1,1,331,6,63,400,1339,676,200,3.35,1.69,9
common-gen5,13,1575910,San Delta West,2953,1,6,414,54,72,540,1628,400,298,3.01,0.74,10
common-gen5,14,3880887,Lazy Carrots FC,2951,1,6,351,32,46,429,1536,349,231,3.58,0.81,10
common-gen5,15,3837376,San Delta,2949,1,1,210,19,15,244,796,132,155,3.26,0.54,9
common-gen5,16,471806,20p Sheep,2949,1,1,277,27,60,364,1357,488,148,3.73,1.34,10
common-gen5,17,3327374,Les Invaincus X,2948,1,6,131,30,22,183,576,166,84,3.15,0.91,8
common-gen5,18,3160430,its not easy,2943,1,1,286,34,38,358,1150,267,184,3.21,0.75,10
common-gen5,19,42160,I JINCHÃRIKI I,2936,1,5,247,25,10,282,1029,100,206,3.65,0.35,9
common-gen5,20,965886,PORTUGOAL,2934,1,5,167,0,3,170,781,21,156,4.59,0.12,9
common-gen5,21,223861,pF I Academy,2921,1,3,488,48,95,631,2548,976,207,4.04,1.55,10
common-gen5,22,1875,Venari City FC,2920,1,2,974,125,164,1263,4381,1151,638,3.47,0.91,10
common-gen5,23,5302378,noiados fc,2913,1,1,141,22,68,231,731,326,90,3.16,1.41,8
common-gen5,24,2877,Goytre United,2913,1,5,531,64,107,702,2369,766,321,3.37,1.09,10
common-gen5,25,895127,TÃHOO,2905,2,3,267,25,17,309,1273,339,136,4.12,1.10,9
common-gen5,26,4375205,Carrots Chilled,2903,1,5,223,14,13,250,998,195,145,3.99,0.78,9
common-gen5,27,660916,Take Notes,2895,1,2,318,16,15,349,1573,236,184,4.51,0.68,10
common-gen5,28,1520654,Los Tonys,2888,1,1,481,34,134,649,2806,1138,217,4.32,1.75,10
common-gen5,29,1544650,Futebol Mundial,2887,1,1,571,53,64,688,2287,514,373,3.32,0.75,10
common-gen5,30,120027,RV Tamanoir,2887,1,1,768,99,176,1043,3189,1312,357,3.06,1.26,10
common-gen5,31,1659379,Venari United,2885,1,4,292,29,59,380,1439,464,154,3.79,1.22,10
common-gen5,32,6115683,CHAMAAAAAAAAA,2881,1,1,168,10,22,200,946,297,75,4.73,1.49,8
common-gen5,33,4243538,Exception 64,2880,1,3,177,5,13,195,796,150,109,4.08,0.77,9
common-gen5,34,1950487,XI L3G3NDS II,2877,1,3,569,165,210,944,2028,841,416,2.15,0.89,10
common-gen5,35,1111542,La DÃ©faite,2872,1,5,392,75,71,538,1511,395,298,2.81,0.73,10
common-gen5,36,2975523,Lazy Slugs FC,2868,1,2,238,17,22,277,1096,203,158,3.96,0.73,9
common-gen5,37,535595,NU Academy,2867,1,4,401,42,42,485,1696,466,229,3.50,0.96,10
common-gen5,38,2653481,ÃNTAGÃNIST,2866,1,5,132,31,17,180,554,149,91,3.08,0.83,8
common-gen5,39,891105,xNever Enoughx,2865,1,3,293,13,11,317,1198,187,209,3.78,0.59,10
common-gen5,40,163803,Ariana Grande,2864,1,4,373,55,118,546,1830,824,180,3.35,1.51,10
common-gen5,41,1872876,Miami 11,2860,1,1,578,33,33,644,2271,350,402,3.53,0.54,10
common-gen5,42,1636,THE LAB,2855,1,5,246,47,26,319,960,163,204,3.01,0.51,9
common-gen5,43,1471469,GFC x,2849,1,5,534,40,41,615,2808,676,266,4.57,1.10,10
common-gen5,44,5711867,Its Not Apoc,2846,1,3,134,8,15,157,562,117,79,3.58,0.75,9
common-gen5,45,1859980,Apoc B,2843,1,6,430,70,124,624,1661,463,326,2.66,0.74,10
common-gen5,46,3986,I Dun Know,2843,1,5,479,66,138,683,1926,785,270,2.82,1.15,10
common-gen5,47,4823031,NM Burner,2841,1,6,342,33,50,425,1757,566,164,4.13,1.33,10
common-gen5,48,4070297,XI Mugiwara,2837,1,5,123,14,21,158,534,170,65,3.38,1.08,8
common-gen5,49,304640,EL Ga Za,2835,2,3,275,39,73,387,1486,715,108,3.84,1.85,9
common-gen5,50,21312,Not verygood fc,2834,1,1,857,166,389,1412,3719,2246,450,2.63,1.59,10
common-gen5,51,9874017,Steam Train,2833,1,1,91,0,0,91,436,126,37,4.79,1.38,8
common-gen5,52,116749,Ragmidables,2833,1,1,360,64,164,588,2178,1576,108,3.70,2.68,10
common-gen5,53,1164440,Brazilians Boss,2832,1,4,260,29,75,364,1355,680,89,3.72,1.87,9
common-gen5,54,5200994,Z i e g e n,2831,1,1,120,0,0,120,628,209,37,5.23,1.74,8
common-gen5,55,1103,Pure Football,2829,1,3,357,32,41,430,1874,562,165,4.36,1.31,10
common-gen5,56,1421860,Meliora FC,2828,1,3,445,56,124,625,2206,916,221,3.53,1.47,10
common-gen5,57,1154751,Pro I Jack,2825,1,3,824,92,168,1084,4860,2665,176,4.48,2.46,10
common-gen5,58,5993785,Tiki Takka 11,2823,1,2,129,7,10,146,569,102,81,3.90,0.70,8
common-gen5,59,1336138,Apocc,2820,1,2,453,70,98,621,1798,504,336,2.90,0.81,10
common-gen5,60,4652641,Millchan,2819,2,3,179,24,40,243,1011,438,63,4.16,1.80,9
common-gen5,61,3595261,URNOTWINNINGLOL,2819,1,6,159,2,2,163,572,22,142,3.51,0.13,8
common-gen5,62,7465393,N O R TH,2817,3,3,77,4,10,91,371,145,26,4.08,1.59,7
common-gen5,63,5115,Brain FC,2817,1,5,431,57,82,570,1828,652,240,3.21,1.14,10
common-gen5,64,484753,Splash Bros FC,2816,1,5,585,65,95,745,2871,974,266,3.85,1.31,10
common-gen5,65,1474798,XI L3G3NDS,2815,1,2,696,154,249,1099,2619,1032,477,2.38,0.94,10
common-gen5,66,1394745,Pro  Newbs,2815,1,6,281,12,26,319,1354,325,155,4.24,1.02,9
common-gen5,67,1347326,EJ Sports FC,2814,1,1,247,36,67,350,1278,664,90,3.65,1.90,9
common-gen5,68,468179,TNEKETT,2814,1,6,370,46,80,496,1911,852,162,3.85,1.72,10
common-gen5,69,47266,A1 Touch,2814,1,2,861,150,483,1494,5057,3222,318,3.38,2.16,10
common-gen5,70,31111,BROTHERHOOD FC,2813,1,4,710,88,138,936,3509,1186,346,3.75,1.27,10
common-gen5,71,469371,FC SUUU,2811,1,1,640,91,190,921,3202,1686,246,3.48,1.83,10
common-gen5,72,3460289,Real Deeldeaux,2810,1,3,243,16,43,302,1153,356,120,3.82,1.18,10
common-gen5,73,1022073,Tiki 11,2809,1,4,285,26,30,341,1214,207,210,3.56,0.61,9
common-gen5,74,261013,International B,2808,2,3,284,40,108,432,1451,835,114,3.36,1.93,9
common-gen5,75,3906252,xH F C,2807,1,2,354,30,98,482,2029,1187,89,4.21,2.46,10
common-gen5,76,4393152,Tarugo ES,2804,1,1,236,47,5,288,708,15,287,2.46,0.05,10
common-gen5,77,2409694,FC EXCEPTION C,2802,1,6,377,45,75,497,1758,631,184,3.54,1.27,10
common-gen5,78,3871870,II FRANCE II,2801,1,5,161,25,22,208,679,165,108,3.26,0.79,9
common-gen5,79,3865300,Brain FC Casual,2800,1,3,226,27,51,304,1077,387,117,3.54,1.27,9
common-gen5,80,323242,Patterns 2,2800,1,4,605,51,83,739,3453,1268,203,4.67,1.72,10
common-gen5,81,5374428,PSG TIKITAKA 2,2799,2,2,110,22,31,163,471,211,60,2.89,1.29,7
common-gen5,82,1957924,I Shingeki I,2797,1,5,524,86,157,767,2280,1002,269,2.97,1.31,10
common-gen5,83,880954,Final Boss FR,2797,1,3,720,134,293,1147,4300,2507,215,3.75,2.19,10
common-gen5,84,3255562,xOriginalSquad,2796,1,1,974,161,218,1353,4031,1423,597,2.98,1.05,10
common-gen5,85,10250,Expressing iT,2796,1,6,255,45,65,365,1027,379,164,2.81,1.04,10
common-gen5,86,11877,I Dun Know 2,2793,1,6,433,72,143,648,1851,853,233,2.86,1.32,10
common-gen5,87,477070,Eds Carrot Cake,2790,1,5,667,72,134,873,3038,767,456,3.48,0.88,10
common-gen5,88,612962,ONE PIECE11,2789,1,5,1685,268,463,2416,8135,3683,700,3.37,1.52,10
common-gen5,89,6977,Public Enemy,2788,1,4,424,5,9,438,3127,399,249,7.14,0.91,10
common-gen5,90,8419592,h o p e,2787,2,2,112,14,37,163,533,289,46,3.27,1.77,8
common-gen5,91,5187300,No Cancel,2783,1,6,108,0,1,109,514,78,60,4.72,0.72,8
common-gen5,92,263629,International,2782,1,6,1145,98,163,1406,5034,1463,626,3.58,1.04,10
common-gen5,93,71009,StreetFc,2774,1,6,417,20,28,465,1929,284,277,4.15,0.61,10
common-gen5,94,7345,The Dodgemen,2773,1,6,487,38,70,595,2257,748,244,3.79,1.26,10
common-gen5,95,738875,LeicesterUnited,2771,2,2,528,93,322,943,3220,2478,162,3.41,2.63,10
common-gen5,96,5358256,Cancel,2770,1,1,100,0,0,100,447,70,56,4.47,0.70,7
common-gen5,97,38384,Wingus FC,2766,1,2,252,13,13,278,1110,163,175,3.99,0.59,10
common-gen5,98,7668199,L A L O,2765,1,2,118,15,21,154,652,353,28,4.23,2.29,8
common-gen5,99,4322654,Xx LE FOUR xX,2764,1,3,302,35,58,395,1292,373,193,3.27,0.94,10
common-gen5,100,1471957,PRIMEFUTBOL,2763,1,6,418,46,48,512,1730,474,235,3.38,0.93,10
common-gen4,1,29695,FluÃ®d FÃ¸Ã¸tball,2779,1,3,255,10,8,273,1136,190,159,4.16,0.70,10
common-gen4,2,175732,x no mercy x,2775,1,1,183,9,10,202,857,130,136,4.24,0.64,9
common-gen4,3,416858,Ã¸Ã®Ã¸,2770,1,1,325,16,26,367,1497,376,174,4.08,1.02,10
common-gen4,4,569874,Ã®Tz SÃ¸ HÃ¸t,2765,1,1,184,5,4,193,816,125,115,4.23,0.65,9
common-gen4,5,540421,TÃ¸tal FÃ¸Ã¸tball,2733,1,1,211,6,9,226,955,154,127,4.23,0.68,9
common-gen4,6,484095,BÃ®ggest SnÃ£kes,2700,1,1,215,15,15,245,1032,212,127,4.21,0.87,9
common-gen4,7,615403,Ã®nfernÃ¸,2695,1,6,116,1,1,118,499,73,75,4.23,0.62,8
common-gen4,8,561178,LÃ®quÃ®d FÃ¸Ã¸tball,2692,1,1,204,3,9,216,868,134,136,4.02,0.62,9
common-gen4,9,1369,SCHWARZ VORAUS,2692,1,2,564,42,52,658,2573,746,257,3.91,1.13,10
common-gen4,10,95107,OUR FOOTBALL,2685,1,1,454,86,155,695,1964,1054,226,2.83,1.52,10
common-gen4,11,742806,Familia Moraeis,2665,1,1,295,62,158,515,1527,1043,92,2.97,2.03,9
common-gen4,12,280002,Coringas  Do Rj,2635,1,1,594,118,250,962,2884,1638,233,3.00,1.70,10
common-gen4,13,602484,FC Beuvry 2,2614,1,2,283,30,52,365,1628,744,84,4.46,2.04,9
common-gen4,14,290500,TIKI TAKA XI,2613,1,2,153,7,7,167,628,99,93,3.76,0.59,8
common-gen4,15,792229,39 hÃ¸tdÃ¸gs,2607,2,5,77,2,2,81,349,79,34,4.31,0.98,7
common-gen4,16,486749,CR7 LISBON,2607,1,4,426,87,232,745,2125,1530,163,2.85,2.05,10
common-gen4,17,201896,Yatay,2594,1,2,540,94,227,861,2324,1548,180,2.70,1.80,10
