Platform Code,Platform Name,Club Rank,Club ID,Club Name,Player Name,Games Played,Goals,Assists,Man of Match (MoTM),Average Rating,Clean Sheets (Def),Clean Sheets (GK),Shot Success Rate %,Passes Made,Pass Success Rate %,Tackles Made,Tackle Success Rate %
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Mister_Cong,1446,450,590,203,forward,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Colucciaa,3963,711,889,226,goalkeeper,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,xScott-_h,2161,4022,1800,746,midfielder,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Finley1x,2773,2821,2071,730,midfielder,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,iiSURF3R-,2040,62,43,55,defender,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,silvacreeper98,445,18,6,5,defender,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Mattiblak,1290,333,325,79,forward,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Lundiis96,1451,168,227,40,defender,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,lNEUERl1,2721,92,7,115,goalkeeper,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,KingBM_96,1393,798,702,161,midfielder,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,CertifiedLeonean,1480,197,213,64,defender,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,wyd--stepbro_,2830,1788,3047,621,forward,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Ju_We22,1966,1984,782,219,forward,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Olderskogen,1702,195,201,45,defender,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,DontGoooAnywhere,73,36,79,19,forward,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Nichii97,2435,646,719,149,midfielder,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,DolceVita___,851,180,437,47,midfielder,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,xTruls,93,56,35,3,midfielder,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,PLAAM_S,2641,2673,1406,460,forward,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Boxyte,533,320,241,41,forward,,,,,,,
common-gen5,PlayStation 5 / Xbox Series X|S / PC (Crossplay Geração Atual),1,123762,Gimme 20p FC,Ezample-Captxin,722,383,530,99,forward,,,,,,,
